date,open,max,min,close,Negative,Neutral,Positive
2020/7/2 9:32,3024.83,3028.59,3024.83,3027.67,2,5,1
2020/7/2 9:33,3027.97,3028.12,3025.73,3025.73,5,4,3
2020/7/2 9:34,3025.3,3027.05,3024.48,3026.03,2,1,1
2020/7/2 9:35,3026.83,3034.92,3026.83,3034.47,2,1,4
2020/7/2 9:36,3035.44,3035.9,3033.93,3034.54,4,3,2
2020/7/2 9:37,3034.93,3035.49,3033.78,3033.78,1,2,1
2020/7/2 9:38,3034.15,3037.39,3033.91,3037.03,3,7,2
2020/7/2 9:39,3037.86,3037.86,3036.01,3036.01,1,2,3
2020/7/2 9:40,3035.94,3038.3,3035.49,3037.64,5,2,4
2020/7/2 9:41,3037.77,3040.11,3037.77,3039.95,5,8,3
2020/7/2 9:42,3040.37,3041.23,3040.15,3040.15,2,2,4
2020/7/2 9:43,3040.77,3040.77,3038.98,3039.22,6,4,2
2020/7/2 9:44,3039.98,3041.79,3039.47,3041.76,4,2,4
2020/7/2 9:45,3042.81,3042.81,3041.18,3041.95,1,4,1
2020/7/2 9:46,3041.66,3041.66,3039.24,3039.24,6,4,1
2020/7/2 9:47,3039.4,3040.9,3039,3040.54,5,5,2
2020/7/2 9:48,3040.91,3042.6,3040.91,3042.27,4,7,3
2020/7/2 9:49,3042.05,3042.53,3041.57,3042.24,3,7,2
2020/7/2 9:50,3042.3,3044.3,3042.3,3044.3,3,5,11
2020/7/2 9:51,3044.76,3045.45,3044.73,3045.08,7,7,6
2020/7/2 9:52,3045.78,3045.78,3043.78,3044.4,3,4,1
2020/7/2 9:53,3044.6,3044.6,3042.47,3042.47,3,2,4
2020/7/2 9:54,3043.58,3043.58,3042.35,3043.27,2,3,5
2020/7/2 9:55,3043.08,3043.59,3042.93,3043.31,4,2,4
2020/7/2 9:56,3043.19,3045.32,3043.19,3045.32,6,4,6
2020/7/2 9:57,3045.02,3045.22,3042.65,3042.65,4,3,3
2020/7/2 9:58,3042.82,3042.82,3039.64,3039.79,5,4,4
2020/7/2 9:59,3039.26,3039.69,3038.23,3039.11,3,2,3
2020/7/2 10:00,3039.24,3040.83,3038.52,3040.48,2,4,4
2020/7/2 10:01,3040.67,3042.13,3040.67,3041.88,2,3,5
2020/7/2 10:02,3042.51,3042.51,3040.94,3041.61,5,3,3
2020/7/2 10:03,3040.78,3041.63,3040.78,3041.59,3,5,3
2020/7/2 10:04,3042.06,3043.02,3041.4,3043.02,2,3,2
2020/7/2 10:05,3042.16,3042.71,3040.73,3041.06,2,1,1
2020/7/2 10:06,3040.91,3041.46,3040.11,3041.46,4,3,4
2020/7/2 10:07,3041.2,3042.73,3041.01,3042.01,3,1,2
2020/7/2 10:08,3042.36,3044.77,3041.95,3044.77,6,3,2
2020/7/2 10:09,3044.65,3046.43,3044.58,3046.03,4,4,2
2020/7/2 10:10,3045.52,3046.5,3045.49,3045.63,5,7,3
2020/7/2 10:11,3045.28,3047.23,3045.01,3046.58,1,4,4
2020/7/2 10:12,3046.56,3047.11,3045.72,3045.72,6,4,3
2020/7/2 10:13,3045.96,3047.19,3045.65,3045.93,3,3,1
2020/7/2 10:14,3045.96,3048.48,3045.96,3048.48,4,7,5
2020/7/2 10:15,3048.21,3049.88,3048.21,3049.11,6,2,3
2020/7/2 10:16,3049.52,3049.85,3047.12,3047.67,4,5,3
2020/7/2 10:17,3047.93,3047.93,3047.07,3047.65,5,2,4
2020/7/2 10:18,3047.46,3048.43,3047.15,3048.35,4,3,4
2020/7/2 10:19,3049.04,3049.4,3048.5,3048.6,5,3,1
2020/7/2 10:20,3048.49,3048.96,3047.04,3047.04,3,3,6
2020/7/2 10:21,3046.9,3046.9,3045.46,3046.09,4,2,2
2020/7/2 10:22,3045.53,3045.53,3044.04,3044.22,4,3,3
2020/7/2 10:23,3044.12,3045.44,3043.52,3045.44,3,2,3
2020/7/2 10:24,3045.15,3048.2,3045.15,3047.93,3,1,2
2020/7/2 10:25,3048.52,3048.79,3047.09,3047.77,3,3,1
2020/7/2 10:26,3047.51,3048.04,3046.27,3046.27,1,1,6
2020/7/2 10:27,3046.44,3048.1,3045.82,3048.1,6,5,2
2020/7/2 10:28,3048.04,3048.26,3046.69,3046.69,6,6,2
2020/7/2 10:29,3046.61,3046.61,3045.34,3045.34,4,2,4
2020/7/2 10:30,3045.27,3045.82,3044.95,3045.04,7,5,2
2020/7/2 10:31,3044.82,3047.58,3044.57,3047.33,2,2,4
2020/7/2 10:32,3047.04,3048.46,3047.04,3048.24,1,6,3
2020/7/2 10:33,3048.27,3048.27,3047.47,3048.05,2,6,3
2020/7/2 10:34,3047.67,3048.2,3047.28,3047.69,6,5,3
2020/7/2 10:35,3047.75,3047.75,3046.04,3047,5,3,3
2020/7/2 10:36,3047.12,3049.75,3047.12,3049.75,4,2,2
2020/7/2 10:37,3049.8,3050.27,3048.93,3048.93,4,6,4
2020/7/2 10:38,3049.19,3049.19,3048.48,3049.08,4,3,6
2020/7/2 10:39,3048.89,3050.17,3048.78,3049.62,2,5,1
2020/7/2 10:40,3049.82,3049.82,3048.68,3049.18,2,5,1
2020/7/2 10:41,3049.07,3049.39,3048.23,3048.23,5,3,6
2020/7/2 10:42,3048.45,3048.45,3047.2,3047.73,2,4,2
2020/7/2 10:43,3048.02,3048.02,3046.92,3047.96,2,2,2
2020/7/2 10:44,3047.43,3049.15,3047.17,3049.15,4,5,2
2020/7/2 10:45,3049.69,3050.11,3049.48,3049.48,3,3,2
